participant,task,condition,fix_count_code,fix_count_gemini,fix_count_summary,fix_count_other,fix_dur_code,fix_dur_gemini,fix_dur_summary,fix_dur_other
participant 290,Sheet2.xlsx,post,104.0,189.0,95.0,8.777777777777779,166.79,293.92,166.79,233.57222222222222
participant 290,hard.xlsx,post,320.0,348.0,178.0,19.666666666666668,366.82,169.59,116.74,388.1037037037036
participant 290,Sheet3.xlsx,post,208.0,139.0,108.0,18.933333333333334,116.81,100.11,116.81,204.0973333333333
Participant170,task_med.xlsx,post,155.0,89.0,,23.26086956521739,173.25,100.13,,255.26913043478262
Participant170,taskhard.xlsx,post,338.0,110.0,248.0,33.083333333333336,53.13,84.78,266.94,221.41388888888892
Participant170,task_easy.xlsx,post,172.0,91.0,151.0,22.647058823529413,183.6,69.29,266.96,262.0370588235295
participant320,Sheet2.xlsx,post,10.0,83.0,70.0,3.0,150.07,183.55,383.73,187.6875
participant320,Sheet1.xlsx,post,10.0,137.0,89.0,1.0,100.06,284.88,183.49,454.008
participant 310,med.xlsx,post,24.0,207.0,29.0,3.888888888888889,214.68,8.68,148.74,310.2066666666667
participant 310,easy.xlsx,post,4.0,59.0,19.0,1.8,150.18,1276.53,150.1,236.908
participant 310,Sheet3.xlsx,post,,,,,,,,
participant270,easy.xlsx,post,55.0,177.0,,45.666666666666664,22.99,333.44,,275.21999999999997
participant270,hard.xlsx,post,248.0,215.0,,56.93333333333333,66.69,200.19,,433.22800000000007
particiapnt230,task_med.xlsx,post,83.0,235.0,127.0,7.666666666666667,525.64,33.32,166.87,287.8775
particiapnt230,task_hard.xlsx,post,115.0,163.0,48.0,10.761904761904763,66.7,12.23,200.2,317.40000000000003
particiapnt230,task_easy.xlsx,post,64.0,153.0,,11.071428571428571,300.29,133.51,,150.72214285714287
Participant130,task_med.xlsx,post,261.0,198.0,197.0,22.75,367.05,150.15,250.23,420.23333333333335
Participant130,task_hard.xlsx,post,248.0,387.0,223.0,19.09375,66.74,133.44,216.85,441.59468749999996
Participant130,task_easy.xlsx,post,89.0,120.0,109.0,7.4,618.32,433.8,884.08,415.51599999999996
participant360,med.xlsx,post,35.0,473.0,179.0,4.894736842105263,66.74,150.14,133.51,370.5989473684211
participant360,easy.xlsx,post,92.0,2.0,,23.77777777777778,1001.11,166.86,,310.52666666666664
participant360,medium.xlsx,post,15.0,431.0,236.0,2.5714285714285716,467.12,79.3,166.88,240.7357142857143
Participant100,Task1_Hard.xlsx,post,2.0,2.0,20.0,25.130434782608695,325.31,825.89,560.58,475.9171739130434
Participant100,Task2_Easy.xlsx,post,1.5,1.0,,51.833333333333336,1615.595,517.24,,422.9083333333333
Participant100,Task3.xlsx,post,1.0,1.0,,14.772727272727273,333.69,250.3,,367.71272727272725
participant350,Sheet2.xlsx,post,8.0,,,30.727272727272727,200.19,,,211.57090909090905
participant350,easy.xlsx,post,9.0,225.0,60.0,1.0,100.06,208.68,550.55,433.80999999999995
participant350,Sheet3.xlsx,post,2.0,178.0,146.0,1.6666666666666667,216.94,150.18,216.94,300.33666666666664
Participant110,Task3_med.xlsx,post,47.0,290.0,277.0,8.571428571428571,624.66,216.87,37.39,443.4857142857143
Participant110,Task1_easy.xlsx,post,24.0,481.0,,56.083333333333336,150.12,316.99,,297.3616666666667
Participant110,Task2_hard.xlsx,post,247.0,301.0,121.0,30.7,367.08,233.56,500.5,390.31600000000003
participant340,med.xlsx,post,11.0,233.0,113.0,2.0833333333333335,509.22,283.77,166.81,239.13749999999996
participant340,easy.xlsx,post,241.0,128.0,,52.0,1777.77,116.97,,387.57466666666664
participant340,hard.xlsx,post,531.0,136.0,386.0,52.24,300.31,1045.03,101.55,352.99760000000003
Participant120,task_med.xlsx,post,506.0,453.0,698.0,26.92105263157895,223.38,196.64,299.5,291.7628947368421
Participant120,task_easy.xlsx,post,105.0,398.0,355.0,14.375,210.61,192.21,278.31,229.10000000000002
participant180,easy.xlsx,post,127.0,232.0,288.0,15.285714285714286,677.66,250.73,133.44,350.65142857142854
participant180,hard.xlsx,post,158.0,109.0,104.0,15.068965517241379,250.35,200.17,283.62,336.6037931034483
participant260,Sheet2.xlsx,post,79.0,123.0,196.0,8.3,475.66,250.16,150.19,654.8620000000001
participant260,Sheet3.xlsx,post,201.0,119.0,91.0,21.210526315789473,150.12,183.56,266.92,442.57263157894744
participant260,Sheet1.xlsx,post,441.0,126.0,313.0,39.54545454545455,73.39,133.49,350.57,372.04909090909086
participant330_,med.xlsx,post,16.0,228.0,183.0,5.666666666666667,183.51,41.07,216.86,244.6933333333333
participant330_,easy.xlsx,post,1.0,62.0,32.0,,617.32,166.87,200.15,
participant330_,Sheet3.xlsx,post,5.0,157.0,88.0,1.3,199.44,133.52,183.48,390.10200000000003
participant250,task_med.xlsx,post,49.0,289.0,149.0,3.5384615384615383,317.19,183.45,160.89,220.74846153846153
participant250,task_hard.xlsx,post,142.0,116.0,163.0,6.689655172413793,166.86,767.49,133.46,246.5310344827586
participant250,task_easy.xlsx,post,13.0,168.0,99.0,2.3333333333333335,167.1,113.26,150.12,255.78333333333333
participant240_,task_med.xlsx,post,427.0,452.0,151.0,28.0,517.09,116.78,133.5,328.2741176470588
participant240_,task_hard.xlsx,post,334.0,360.0,127.0,15.571428571428571,183.49,100.11,100.09,575.5995238095239
participant240_,task_easy.xlsx,post,257.0,96.0,365.0,24.545454545454547,243.07,150.22,483.8,329.1427272727273
participant210,task_med.xlsx,post,200.0,369.0,324.0,23.214285714285715,216.85,133.42,105.48,304.4721428571428
participant280,med.xlsx,post,105.0,387.0,136.0,15.61111111111111,66.75,39.62,600.62,629.4316666666667
participant280,hard.xlsx,post,34.0,211.0,111.0,3.1,400.43,1022.57,150.13,265.28600000000006
participant220,task-easy.xlsx,post,69.0,181.0,159.0,16.6,128.07,200.19,250.24,306.466
participant220,task_hard.xlsx,post,252.0,135.0,190.0,22.844444444444445,119.58,100.13,116.81,383.0688888888889
participant220,task-med.xlsx,post,131.0,135.0,75.0,17.0,142.81,74.93,316.95,315.15727272727275
Participant160,task_med.xlsx,post,110.0,33.0,440.0,22.76923076923077,67.08,54.04,100.06,243.90846153846158
Participant160,task_hard.xlsx,post,81.0,102.0,385.0,12.92,183.35,116.81,250.01,262.2644
Participant160,task_easy.xlsx,post,18.0,141.0,266.0,4.5,66.79,59.81,100.06,200.2125
Participant150,task_med.xlsx,post,202.0,176.0,161.0,18.0,150.14,133.5,2669.32,580.5925
Participant150,task_hard.xlsx,post,215.0,440.0,62.0,12.787878787878787,383.68,82.2,884.25,402.99000000000007
Participant150,task_easy.xlsx,post,122.0,188.0,119.0,9.083333333333334,350.34,150.18,550.56,394.80999999999995
participant300,easy.xlsx,post,93.0,105.0,124.0,20.692307692307693,284.22,170.17,166.87,377.33076923076925
participant300,hard.xlsx,post,288.0,302.0,174.0,13.2,483.81,283.46,845.2,401.9013333333333
participant300,Sheet3.xlsx,post,32.0,101.0,74.0,5.5,500.5,51.48,200.18,306.94399999999996
