Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,Category,DV,p-corrected
Experience,12792.08977336952,1,21,12792.08977336952,0.022672357929155416,0.8817491612076528,0.0010784717348555379,,Argument,FixationDuration_mean,0.9854843566438473
Phase,2726183.1273073065,1,21,2726183.1273073065,33.91477156133238,8.827322626792817e-06,0.6175892314047807,1.0,Argument,FixationDuration_mean,0.00010063147794543812
Interaction,54.01550871692598,1,21,54.01550871692598,0.000671973801229238,0.9795639453213832,3.199772855209296e-05,,Argument,FixationDuration_mean,0.9915808996695675
Experience,814937.124158862,1,19,814937.124158862,1.458222653619558,0.24203096358286777,0.07127807133145865,,Assignment,FixationDuration_mean,0.6416634848476029
Phase,791438.8790635582,1,19,791438.8790635582,13.309620623696212,0.0017099929504084655,0.41193986084549683,1.0,Assignment,FixationDuration_mean,0.008475617232459352
Interaction,5713.18072433956,1,19,5713.18072433956,0.0960785096703177,0.7599614093508702,0.0050313214632869896,,Assignment,FixationDuration_mean,0.9581884848730722
Experience,8699.428261732257,1,21,8699.428261732257,0.7888617087281815,0.38450500566094237,0.03620481506898451,,Code,FixationDuration_mean,0.8594817773597535
Phase,2090.613306521721,1,21,2090.613306521721,0.5593264283057814,0.4628253843118578,0.0259435947670159,1.0,Code,FixationDuration_mean,0.87936823019253
Interaction,4.834871256025508,1,21,4.834871256025508,0.0012935301150695788,0.9716494144534922,6.159287822984356e-05,,Code,FixationDuration_mean,0.9915808996695675
Experience,9673.022270263986,1,21,9673.022270263986,0.08512413530894143,0.7733324928026515,0.004037165480396361,,ConditionalBody,FixationDuration_mean,0.9581884848730722
Phase,267626.34676545917,1,21,267626.34676545917,7.949046021901407,0.010272381600813361,0.27458749472737565,1.0,ConditionalBody,FixationDuration_mean,0.037775854919120104
Interaction,21005.94275234826,1,21,21005.94275234826,0.6239191607625132,0.43842337672577514,0.028853195210544445,,ConditionalBody,FixationDuration_mean,0.87936823019253
Experience,18686.571831988087,1,21,18686.571831988087,0.0390675470715846,0.8452156096852944,0.0018569048739530468,,ConditionalStatement,FixationDuration_mean,0.9810580015206373
Phase,895290.5439574876,1,21,895290.5439574876,12.370095899859246,0.00204796169596334,0.3706940470588046,1.0,ConditionalStatement,FixationDuration_mean,0.009270945021536395
Interaction,13792.153088135645,1,21,13792.153088135645,0.19056412191244937,0.6669028790072078,0.008992876301740048,,ConditionalStatement,FixationDuration_mean,0.9581884848730722
Experience,17506.13084100379,1,20,17506.13084100379,0.13856844683589573,0.7136235551125867,0.006880749602520389,,ExceptionHandling,FixationDuration_mean,0.9581884848730722
Phase,155813.84294545453,1,20,155813.84294545453,1.8891112864541217,0.1845086962515257,0.08630369966747718,1.0,ExceptionHandling,FixationDuration_mean,0.5130241798213153
Interaction,164732.85821600351,1,20,164732.85821600351,1.997246815962556,0.17296054208817635,0.09079530873441993,,ExceptionHandling,FixationDuration_mean,0.5130241798213153
Experience,22261.506998835932,1,21,22261.506998835932,2.1882602064654324,0.1539116650125905,0.09436931391063542,,Gemini,FixationDuration_mean,0.47421431922798146
Phase,594392.1763362922,1,21,594392.1763362922,149.97906273736285,4.999329228360208e-11,0.8771779441073575,1.0,Gemini,FixationDuration_mean,5.699235320330637e-09
Interaction,3347.031602187315,1,21,3347.031602187315,0.8445344380918922,0.36853886758507326,0.038661132398373134,,Gemini,FixationDuration_mean,0.8402686180939671
Experience,813.9255471428538,1,18,813.9255471428538,0.005316789717454848,0.9426768572232652,0.00029528998459450495,,IndexOperation,FixationDuration_mean,0.9915808996695675
Phase,1958651.0692225,1,18,1958651.0692225,24.018103573975267,0.00011512284016719544,0.5716132221838625,1.0,IndexOperation,FixationDuration_mean,0.0010095387522354063
Interaction,588.1934144059196,1,18,588.1934144059196,0.007212765239670514,0.9332561203063354,0.0004005486764500122,,IndexOperation,FixationDuration_mean,0.9915808996695675
Experience,306.719756239316,1,18,306.719756239316,0.0012242847930603131,0.9724729936659106,6.801119599929408e-05,,Literal,FixationDuration_mean,0.9915808996695675
Phase,2745985.3246224998,1,18,2745985.3246224998,15.120348648456337,0.0010766836402783028,0.4565274601709563,1.0,Literal,FixationDuration_mean,0.006137096749586326
Interaction,38526.775823103264,1,18,38526.775823103264,0.21214180480965364,0.6506097061442417,0.011648372118079436,,Literal,FixationDuration_mean,0.9581884848730722
Experience,25420.29930955686,1,19,25420.29930955686,0.714849421374509,0.4083603930338172,0.036259441099229565,,LoopBody,FixationDuration_mean,0.862094163071392
Phase,63239.21512228825,1,19,63239.21512228825,15.352972480159918,0.0009234229928059362,0.4469183122079701,1.0,LoopBody,FixationDuration_mean,0.005540537956835618
Interaction,3910.611548445886,1,19,3910.611548445886,0.9494031728221862,0.34211427832326924,0.047590555195936565,,LoopBody,FixationDuration_mean,0.8125214110177645
Experience,8177.589091076297,1,21,8177.589091076297,0.10438057886511054,0.7498297717191796,0.004945920041341654,,LoopStatement,FixationDuration_mean,0.9581884848730722
Phase,298634.0483116548,1,21,298634.0483116548,12.404789798531302,0.0020242749779948448,0.37134763826823125,1.0,LoopStatement,FixationDuration_mean,0.009270945021536395
Interaction,9372.04563773796,1,21,9372.04563773796,0.3893000706907151,0.53938686017342,0.01820069237441595,,LoopStatement,FixationDuration_mean,0.9319817495765675
Experience,167932.8348484351,1,21,167932.8348484351,0.3537478360411682,0.5583539136444773,0.0165660772412095,,MethodCall,FixationDuration_mean,0.9319817495765675
Phase,7698792.899015461,1,21,7698792.899015461,50.068008210634986,5.556834152614652e-07,0.7045083923309187,1.0,MethodCall,FixationDuration_mean,1.2669581867961408e-05
Interaction,1936.2876090332866,1,21,1936.2876090332866,0.012592371970367855,0.9117180838252936,0.0005992774117279018,,MethodCall,FixationDuration_mean,0.9915808996695675
Experience,2228.7389598478403,1,21,2228.7389598478403,0.05807141728336019,0.8119077190853802,0.002757679757686557,,MethodDeclaration,FixationDuration_mean,0.9800088324576941
Phase,141653.57753774154,1,21,141653.57753774154,10.478262671775399,0.003948928935224979,0.33287296637150837,1.0,MethodDeclaration,FixationDuration_mean,0.015005929953854922
Interaction,745.0093777221628,1,21,745.0093777221628,0.05510911964527584,0.8166740270480785,0.002617375162110026,,MethodDeclaration,FixationDuration_mean,0.9800088324576941
Experience,24222.661633333333,1,1,24222.661633333333,0.3333333333333334,0.6666666666666666,0.25000000000000006,,Operator,FixationDuration_mean,0.9581884848730722
Phase,48445.32326666667,1,1,48445.32326666667,0.6666666666666669,0.5640942168489749,0.4,1.0,Operator,FixationDuration_mean,0.9319817495765675
Interaction,24222.661633333337,1,1,24222.661633333337,0.3333333333333334,0.6666666666666666,0.25000000000000006,,Operator,FixationDuration_mean,0.9581884848730722
Experience,7214.530892003105,1,21,7214.530892003105,0.11981615974412217,0.7326779154196672,0.005673163006622204,,Parameter,FixationDuration_mean,0.9581884848730722
Phase,611595.0158282609,1,21,611595.0158282609,11.783029385958184,0.0024988840425791956,0.35942466595247474,1.0,Parameter,FixationDuration_mean,0.010174027887643869
Interaction,1852.4686835939065,1,21,1852.4686835939065,0.03568978224224705,0.851971422373185,0.0016966299946282431,,Parameter,FixationDuration_mean,0.9810580015206373
Experience,518548.98570003203,1,11,518548.98570003203,5.441586261460632,0.039678317787479704,0.33096479712640664,,Return,FixationDuration_mean,0.13707055235674806
Phase,49118.0579086538,1,11,49118.0579086538,0.933844073113521,0.35463195455809743,0.07825174079636543,1.0,Return,FixationDuration_mean,0.8250620983596553
Interaction,109940.77475926233,1,11,109940.77475926233,2.090219875822032,0.17612737245727647,0.15967798063367303,,Return,FixationDuration_mean,0.5130241798213153
Experience,14594.982800485224,1,21,14594.982800485224,1.3189279241249259,0.2636986393514064,0.05909459130871932,,Summary,FixationDuration_mean,0.6535140192621811
Phase,14528.159783574862,1,21,14528.159783574862,3.9126636074458974,0.0611927938071087,0.15705520971577203,1.0,Summary,FixationDuration_mean,0.19931367125743976
Interaction,564.0068782803137,1,21,564.0068782803137,0.1518959881960731,0.7006546121083264,0.007181199656089434,,Summary,FixationDuration_mean,0.9581884848730722
Experience,782105.6778836303,1,21,782105.6778836303,0.7323108506313142,0.4017940982254875,0.033696869866466174,,VariableName,FixationDuration_mean,0.862094163071392
Phase,29167319.68206819,1,21,29167319.68206819,47.06966731084814,8.810006073458384e-07,0.6914925424256735,1.0,VariableName,FixationDuration_mean,1.673901153957093e-05
Interaction,70.65784380584955,1,21,70.65784380584955,0.00011402628822585668,0.9915808996695675,5.4297937660298915e-06,,VariableName,FixationDuration_mean,0.9915808996695675
Experience,71998.49428835973,1,19,71998.49428835973,0.27780434753918115,0.6042442045867615,0.014410580299028867,,ExternalVarOrMethod,FixationDuration_mean,0.9581884848730722
Phase,1808731.1771222884,1,19,1808731.1771222884,11.689693259750996,0.0028779160390765435,0.3808996447377931,1.0,ExternalVarOrMethod,FixationDuration_mean,0.011313187188093998
Interaction,581141.8741639182,1,19,581141.8741639182,3.7558761275853856,0.06762769463152245,0.16505082496175108,,ExternalVarOrMethod,FixationDuration_mean,0.21415436633315443
Experience,0.03196708937198001,1,21,0.03196708937198001,0.0002422824287920558,0.9877280260313419,1.1537125407109091e-05,,Argument,FixationCount_mean,0.9915808996695675
Phase,2372.1763285024144,1,21,2372.1763285024144,35.533239699400454,6.457092276928976e-06,0.6285371206097231,1.0,Argument,FixationCount_mean,8.178983550776703e-05
Interaction,18.154896695998104,1,21,18.154896695998104,0.2719453390819456,0.6074863867196847,0.01278422517297058,,Argument,FixationCount_mean,0.9581884848730722
Experience,170.00297619047643,1,19,170.00297619047643,0.11437685633345174,0.7389235011809792,0.005983812979786131,,Assignment,FixationCount_mean,0.9581884848730722
Phase,18838.339285714283,1,19,18838.339285714283,20.117088440849862,0.00025355573075977266,0.5142787779634858,1.0,Assignment,FixationCount_mean,0.0017256984106756002
Interaction,193.52678571430442,1,19,193.52678571430442,0.20666341150572634,0.6545463473386515,0.010759985067574251,,Assignment,FixationCount_mean,0.9581884848730722
Experience,3505.9200310559027,1,21,3505.9200310559027,0.5724225066057917,0.4577025720114174,0.026534920055015038,,Code,FixationCount_mean,0.87936823019253
Phase,275306.7053140097,1,21,275306.7053140097,72.78381488863492,2.8931260641376673e-08,0.7760807659089494,1.0,Code,FixationCount_mean,1.0993879043723137e-06
Interaction,146.23913043487119,1,21,146.23913043487119,0.03866176011552801,0.8460107265948177,0.00183765301026997,,Code,FixationCount_mean,0.9810580015206373
Experience,120.32099723947576,1,21,120.32099723947576,0.027550309515041945,0.8697580786405941,0.0013102006229691592,,ConditionalBody,FixationCount_mean,0.9854843566438473
Phase,95915.22282608695,1,21,95915.22282608695,32.25170774582955,1.2296036668159922e-05,0.6056464498709971,1.0,ConditionalBody,FixationCount_mean,0.0001274316527427483
Interaction,711.062888198765,1,21,711.062888198765,0.23909648315861226,0.6299273639963866,0.011257375441945099,,ConditionalBody,FixationCount_mean,0.9581884848730722
Experience,3900.58126833161,1,21,3900.58126833161,0.7315775024939579,0.4020259129039816,0.033664261253468636,,ConditionalStatement,FixationCount_mean,0.862094163071392
Phase,23130.266304347824,1,21,23130.266304347824,13.868034653070778,0.0012545451383455216,0.397729174903451,1.0,ConditionalStatement,FixationCount_mean,0.006810387893875689
Interaction,71.5550002156815,1,21,71.5550002156815,0.042901677375198614,0.8379057971657943,0.0020387719352091744,,ConditionalStatement,FixationCount_mean,0.9810580015206373
