AOI_Label,SemanticCategory
Code,Code
Conditional,ConditionalStatement
Declaration,MethodDeclaration
Excepttion,ExceptionHandling
External call,ExternalVarOrMethod
External call 1,ExternalVarOrMethod
Gemini,Gemini
Loopbod,LoopBody
Method decleration,MethodDeclaration
Parameters,Parameter
Summary,Summary
a4rg4,Argument
aqrg2,Argument
arg,Argument
arg 1,Argument
arg 2,Argument
arg 3,Argument
arg 4,Argument
arg 5,Argument
arg 6,Argument
arg 7,Argument
arg 8,Argument
arg 9,Argument
arg1,Argument
arg10,Argument
arg11,Argument
arg12,Argument
arg13,Argument
arg15,Argument
arg2,Argument
arg2.1,Argument
arg3,Argument
arg4,Argument
arg5,Argument
arg6,Argument
arg7,Argument
arg8,Argument
arg9,Argument
args,Argument
args 1,Argument
args2,Argument
args3,Argument
args4,Argument
args7,Argument
argument,Argument
argument2,Argument
argument3,Argument
argument4,Argument
argument5,Argument
argument6,Argument
arrg1,Argument
artg,Argument
asgn1,Assignment
asgn10,Assignment
asgn2,Assignment
asgn3,Assignment
asgn5,Assignment
asgn6,Assignment
asgn7,Assignment
asgn8,Assignment
asgn9,Assignment
asign,Assignment
asign2,Assignment
assgn,Assignment
assign,Assignment
assign1,Assignment
assign2,Assignment
assign3,Assignment
assign4,Assignment
assign5,Assignment
assign6,Assignment
assign7,Assignment
assign8,Assignment
assign9,Assignment
assign],Assignment
assignment,Assignment
assignments,Assignment
assignments2,Assignment
assing 1,Assignment
assing 2,Assignment
assing 3,Assignment
asssign,Assignment
asssign1,Assignment
asssignment,Assignment
code,Code
code variable,VariableName
code variable 1,VariableName
codnbody,ConditionalBody
codnstate,ConditionalStatement
conbody,ConditionalBody
conbody2,ConditionalBody
cond,ConditionalStatement
cond bodies 1,ConditionalBody
cond body 1,ConditionalBody
cond body 2,ConditionalBody
cond body 3,ConditionalBody
cond statement,ConditionalStatement
cond statement 1,ConditionalStatement
cond statement 2,ConditionalStatement
cond statement 3,ConditionalStatement
cond1,ConditionalStatement
cond2,ConditionalStatement
cond3,ConditionalStatement
cond4,ConditionalStatement
cond5,ConditionalStatement
condBody1,ConditionalBody
condBody2,ConditionalBody
cond_body,ConditionalBody
cond_body2,ConditionalBody
cond_body3,ConditionalBody
cond_state,ConditionalStatement
cond_state2,ConditionalStatement
cond_state3,ConditionalStatement
cond_statement1,ConditionalStatement
cond_statement2,ConditionalStatement
condboddy,ConditionalBody
condbody,ConditionalBody
condbody1,ConditionalBody
condbody2,ConditionalBody
condbody3,ConditionalBody
condboy,ConditionalStatement
condibody1,ConditionalBody
condiioanlsttae3,ConditionalStatement
conditbody2,ConditionalBody
conditioanlbody3,ConditionalBody
conditioanlbody4,ConditionalBody
conditioanlstate2,ConditionalStatement
conditional body,ConditionalBody
conditional body2,ConditionalBody
conditional satement,ConditionalStatement
conditional state,ConditionalStatement
conditional statement,ConditionalStatement
conditional statement2,ConditionalStatement
conditional_body,ConditionalBody
conditional_statement,ConditionalStatement
conditionalbdoy2,ConditionalStatement
conditionalbody,ConditionalBody
conditionalbody1,ConditionalBody
conditionalst3,ConditionalStatement
conditionalsta4,ConditionalStatement
conditionalsta5,ConditionalStatement
conditionalstat1,ConditionalStatement
conditionalstat3,ConditionalStatement
conditionalstat4,ConditionalStatement
conditionalstate,ConditionalStatement
conditionalstate1,ConditionalStatement
conditionalstatem2,ConditionalStatement
conditionalstatement,ConditionalStatement
conditionalstatemnet2,ConditionalStatement
conditionalstatment,ConditionalStatement
conditionalstatment1,ConditionalStatement
conditionstate,ConditionalStatement
conditionstate1,ConditionalStatement
conditionstatem2,ConditionalStatement
conditioonal body,ConditionalBody
conditonalbody2,ConditionalBody
conditstat2,ConditionalStatement
conditstatem1,ConditionalStatement
condsbody,ConditionalBody
condstae,ConditionalStatement
condstae2,ConditionalStatement
condstarte,Argument
condstat,ConditionalStatement
condstat1,ConditionalStatement
condstat2,ConditionalStatement
condstat3,ConditionalStatement
condstat4,ConditionalStatement
condstat5,ConditionalStatement
condstate,ConditionalStatement
condstate1,ConditionalStatement
condstate2,ConditionalStatement
condstate3,ConditionalStatement
condstate4,ConditionalStatement
condstatte,ConditionalStatement
condstte,ConditionalStatement
condstte2,ConditionalStatement
condstte5,ConditionalStatement
condtionalbody,ConditionalBody
condtionalbody5,ConditionalBody
condtionbody3,ConditionalBody
conmdstat2,ConditionalStatement
constate2,ConditionalStatement
coondstate2,ConditionalStatement
declaration,MethodDeclaration
except,ExceptionHandling
except2,ExceptionHandling
except3,ExceptionHandling
except4,ExceptionHandling
excepthand,ExceptionHandling
excepthand2,ExceptionHandling
exception,ExceptionHandling
exception handling,ExceptionHandling
exception2,ExceptionHandling
exceptionHandling,ExceptionHandling
exceptionhand1,ExceptionHandling
exceptionhandl,ExceptionHandling
exceptionhandl1,ExceptionHandling
exceptionhandl2,ExceptionHandling
excpet2,ExceptionHandling
exept,ExceptionHandling
extenrval2,ExternalVarOrMethod
exteral,ExternalVarOrMethod
exteran;3,ExternalVarOrMethod
exteranal2,ExternalVarOrMethod
exteranl,ExternalVarOrMethod
exteranl2,ExternalVarOrMethod
exteranl4,ExternalVarOrMethod
exteranl6,ExternalVarOrMethod
exterbal5,ExternalVarOrMethod
externa;,ExternalVarOrMethod
external,ExternalVarOrMethod
external call 2,ExternalVarOrMethod
external method,MethodCall
external var 1,VariableName
external var method,MethodCall
external1,ExternalVarOrMethod
external2,ExternalVarOrMethod
