Difficulty,Category,Token Count
medium,arguments,68
medium,variable_names,52
medium,method_calls,52
medium,literals,33
medium,external_variables_methods,28
medium,conditional_bodies,27
medium,conditional_statements,26
medium,parameters,18
medium,loop_body,12
medium,method_declaration,11
medium,operators,10
medium,assignments,9
medium,exception_handling,7
medium,index_operations,6
medium,loop,3
medium,return_statements,2
hard,arguments,69
hard,variable_names,63
hard,method_calls,58
hard,literals,51
hard,conditional_bodies,49
hard,conditional_statements,39
hard,index_operations,34
hard,parameters,24
hard,assignments,24
hard,loop_body,17
hard,loop,12
hard,method_declaration,11
hard,external_variables_methods,11
hard,return_statements,3
hard,exception_handling,2
hard,operators,0
easy,variable_names,28
easy,parameters,17
easy,literals,16
easy,method_calls,15
easy,arguments,13
easy,method_declaration,11
easy,conditional_statements,9
easy,return_statements,7
easy,conditional_bodies,7
easy,loop_body,5
easy,loop,4
easy,external_variables_methods,4
easy,index_operations,4
easy,exception_handling,3
easy,operators,3
easy,assignments,1
